,i,t,m,women,girls,boys,men,Males 00-03,Females 00-03,Males 04-08,Females 04-08,Males 09-13,Females 09-13,Males 14-18,Females 14-18,Males 19-30,Females 19-30,Males 31-50,Females 31-50,Males 51-99,Females 51-99,log HSize
0,11011,2018,ziguinchor,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0
1,110110,2018,ziguinchor,1,1,1,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1.386294361
2,110111,2018,ziguinchor,0,0,2,2,0,0,0,0,0,0,2,0,1,0,1,0,0,0,1.386294361
3,110112,2018,ziguinchor,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.6931471806
4,11012,2018,ziguinchor,2,4,2,2,0,0,0,1,1,1,1,2,1,1,0,1,1,0,2.302585093
5,11013,2018,ziguinchor,1,2,2,1,0,0,1,0,0,2,1,0,0,1,1,0,0,0,1.791759469
6,11014,2018,ziguinchor,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0.6931471806
7,11015,2018,ziguinchor,1,4,1,1,0,0,0,0,1,2,0,2,0,0,1,1,0,0,1.945910149
8,11016,2018,ziguinchor,1,2,1,3,0,0,0,0,1,1,0,1,2,0,0,1,1,0,1.945910149
9,11017,2018,ziguinchor,0,0,0,6,0,0,0,0,0,0,0,0,6,0,0,0,0,0,1.791759469
10,11018,2018,ziguinchor,1,2,2,1,0,0,0,1,1,1,1,0,0,0,1,1,0,0,1.791759469
11,11019,2018,ziguinchor,1,2,0,4,0,0,0,2,0,0,0,0,2,0,1,0,1,1,1.945910149
12,11031,2018,ziguinchor,1,1,2,2,0,0,0,1,0,0,3,0,0,0,0,0,1,1,1.791759469
13,110310,2018,ziguinchor,2,2,0,1,0,0,0,0,0,1,0,1,0,1,1,0,0,1,1.609437912
14,110311,2018,ziguinchor,1,1,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,1.386294361
15,110312,2018,ziguinchor,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.6931471806
16,11032,2018,ziguinchor,3,1,1,1,1,1,0,0,0,0,0,1,0,1,1,0,0,1,1.791759469
17,11033,2018,ziguinchor,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0
18,11034,2018,ziguinchor,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1.098612289
19,11035,2018,ziguinchor,2,3,3,1,1,0,0,1,2,2,0,0,0,1,1,0,0,1,2.197224577
20,11036,2018,ziguinchor,3,2,0,2,0,0,0,1,0,1,0,0,1,1,1,1,0,1,1.945910149
21,11037,2018,ziguinchor,3,2,0,1,0,0,0,0,0,1,0,2,0,1,0,1,1,0,1.791759469
22,11038,2018,ziguinchor,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.6931471806
23,11039,2018,ziguinchor,1,0,3,1,0,0,2,0,1,0,0,0,0,0,0,0,1,1,1.609437912
24,11041,2018,ziguinchor,1,2,1,1,0,0,0,1,1,1,0,0,0,0,0,1,1,0,1.609437912
25,110410,2018,ziguinchor,4,2,0,2,0,0,0,1,0,1,0,1,1,2,0,0,1,1,2.079441542
26,110411,2018,ziguinchor,3,3,0,2,0,0,0,1,0,0,0,2,0,0,2,1,0,2,2.079441542
27,110412,2018,ziguinchor,2,2,1,1,0,0,0,0,0,2,1,0,0,1,1,1,0,0,1.791759469
28,11042,2018,ziguinchor,2,1,5,3,1,0,1,0,1,0,2,1,1,0,2,1,0,1,2.397895273
29,11043,2018,ziguinchor,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0.6931471806
30,11044,2018,ziguinchor,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.6931471806
31,11045,2018,ziguinchor,1,1,4,5,1,0,2,0,1,1,1,0,2,0,2,1,0,0,2.397895273
32,11046,2018,ziguinchor,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,1,1,0,1.386294361
33,11047,2018,ziguinchor,1,0,2,2,0,0,0,0,0,0,2,0,1,0,0,0,1,1,1.609437912
34,11048,2018,ziguinchor,1,2,1,1,1,0,0,2,0,0,0,0,0,0,1,1,0,0,1.609437912
35,11049,2018,ziguinchor,6,7,2,5,0,2,1,3,0,2,1,1,3,2,1,2,1,1,2.995732274
36,11061,2018,ziguinchor,2,1,1,4,0,0,0,0,0,1,1,0,3,1,0,1,1,0,2.079441542
37,110610,2018,ziguinchor,1,1,1,4,0,0,0,0,1,0,2,1,0,0,2,1,0,0,1.945910149
38,110611,2018,ziguinchor,2,1,2,2,0,0,2,0,0,1,0,0,0,1,2,0,0,1,1.945910149
39,110612,2018,ziguinchor,1,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1.098612289
40,11062,2018,ziguinchor,2,1,2,3,1,0,0,0,0,0,1,1,1,1,1,0,1,1,2.079441542
41,11063,2018,ziguinchor,3,0,5,3,1,0,1,0,3,0,0,0,1,1,1,1,1,1,2.397895273
42,11064,2018,ziguinchor,1,0,5,2,1,0,2,0,1,0,1,0,2,1,0,0,0,0,2.079441542
43,11065,2018,ziguinchor,4,1,0,3,0,0,0,0,0,0,0,1,0,3,2,0,1,1,2.079441542
44,11066,2018,ziguinchor,2,2,1,1,0,0,1,0,0,1,0,1,1,0,0,1,0,1,1.791759469
45,11067,2018,ziguinchor,1,0,3,1,1,0,1,0,1,0,0,0,0,0,0,1,1,0,1.609437912
46,11068,2018,ziguinchor,2,2,3,3,2,0,1,1,0,0,1,1,2,1,0,0,0,1,2.302585093
47,11069,2018,ziguinchor,0,1,0,3,0,0,0,1,0,0,0,0,2,0,0,0,1,0,1.386294361
48,11081,2018,ziguinchor,1,1,2,5,0,0,0,0,1,0,1,1,1,0,3,0,1,1,2.197224577
49,110810,2018,ziguinchor,1,1,0,2,0,0,0,0,0,1,0,0,2,0,0,1,0,0,1.386294361
50,110811,2018,ziguinchor,4,1,1,4,1,0,0,1,0,0,1,0,1,1,1,1,1,2,2.302585093
51,110812,2018,ziguinchor,1,2,1,2,0,0,0,1,1,1,0,0,1,0,1,1,0,0,1.791759469
52,11082,2018,ziguinchor,5,3,1,5,1,1,0,1,0,0,0,1,2,2,2,2,1,1,2.63905733
53,11083,2018,ziguinchor,2,1,0,2,0,1,0,0,0,0,0,0,0,1,1,0,1,1,1.609437912
54,11084,2018,ziguinchor,2,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,2,1.386294361
55,11085,2018,ziguinchor,2,0,1,4,0,0,1,0,0,0,0,0,3,1,1,0,0,1,1.945910149
56,11086,2018,ziguinchor,0,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,1,0,1.098612289
57,11087,2018,ziguinchor,2,1,2,1,0,0,0,0,1,1,1,0,0,1,0,0,1,1,1.791759469
58,11088,2018,ziguinchor,5,4,1,4,0,0,0,2,0,1,2,1,1,3,1,1,1,1,2.63905733
59,11089,2018,ziguinchor,1,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1.098612289
60,111,2018,dakar,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.6931471806
61,11101,2018,ziguinchor,2,3,0,2,0,0,0,1,0,1,0,1,1,1,0,1,1,0,1.945910149
62,111010,2018,ziguinchor,1,2,1,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1.386294361
63,111011,2018,ziguinchor,3,1,4,0,1,0,0,1,2,0,1,0,0,2,0,0,0,1,2.079441542
64,111012,2018,ziguinchor,1,1,1,4,0,0,0,0,1,1,0,0,1,0,2,1,1,0,1.945910149
65,11102,2018,ziguinchor,1,3,1,1,0,1,1,2,0,0,0,0,0,0,1,1,0,0,1.791759469
66,11103,2018,ziguinchor,2,0,1,3,0,0,1,0,0,0,0,0,1,2,1,0,1,0,1.791759469
67,11104,2018,ziguinchor,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
68,11105,2018,ziguinchor,3,2,2,0,0,0,0,0,0,1,2,1,0,2,0,1,0,0,1.945910149
69,11106,2018,ziguinchor,1,1,2,3,0,0,0,0,1,1,1,0,2,0,0,1,1,0,1.945910149
70,11107,2018,ziguinchor,4,3,4,2,1,1,1,0,1,0,1,2,1,1,1,2,0,1,2.564949357
71,11108,2018,ziguinchor,4,4,2,1,1,1,1,1,0,0,0,2,0,3,1,0,0,1,2.397895273
72,11109,2018,ziguinchor,2,1,2,0,0,0,0,0,1,0,1,1,0,0,0,1,0,1,1.609437912
73,1111,2018,dakar,1,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1.098612289
74,11110,2018,dakar,1,2,1,1,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1.609437912
75,11111,2018,dakar,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0
76,11112,2018,dakar,3,2,2,2,0,0,0,0,2,1,0,1,1,1,1,1,0,1,2.197224577
77,1112,2018,dakar,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0
78,11121,2018,ziguinchor,1,0,2,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,1.386294361
79,111210,2018,ziguinchor,1,1,0,2,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1.386294361
80,111211,2018,ziguinchor,1,1,1,2,0,0,0,0,0,1,1,0,0,0,1,0,1,1,1.609437912
81,111212,2018,ziguinchor,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0
82,11122,2018,ziguinchor,1,1,0,2,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1.386294361
83,11123,2018,ziguinchor,1,0,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1.098612289
84,11124,2018,ziguinchor,3,3,0,2,0,0,0,0,0,2,0,1,1,0,0,0,1,3,2.079441542
85,11125,2018,ziguinchor,3,0,0,3,0,0,0,0,0,0,0,0,2,1,1,1,0,1,1.791759469
86,11126,2018,ziguinchor,3,2,1,3,0,0,0,1,0,1,2,0,0,2,1,0,1,1,2.197224577
87,11127,2018,ziguinchor,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1.386294361
88,11128,2018,ziguinchor,4,0,2,0,0,0,1,0,1,0,0,0,0,3,0,1,0,0,1.791759469
89,11129,2018,ziguinchor,3,3,0,1,0,0,0,1,0,1,0,2,0,1,0,1,1,0,1.945910149
90,1113,2018,dakar,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0
91,1114,2018,dakar,1,0,0,2,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1.098612289
92,11141,2018,ziguinchor,2,5,2,3,0,1,0,1,1,1,1,2,2,0,1,1,0,1,2.48490665
93,111410,2018,ziguinchor,3,3,2,1,0,0,1,0,1,1,0,3,0,1,1,1,0,0,2.197224577
94,111411,2018,ziguinchor,2,2,0,1,0,0,0,0,0,2,0,0,1,1,0,0,0,1,1.609437912
95,111412,2018,ziguinchor,3,3,1,3,0,1,1,1,0,0,0,2,2,1,1,1,0,0,2.302585093
96,11142,2018,ziguinchor,1,0,3,1,2,0,1,0,0,0,0,0,0,1,1,0,0,0,1.609437912
97,11143,2018,ziguinchor,4,1,4,2,0,0,1,0,2,1,1,0,1,1,1,3,0,0,2.397895273
98,11144,2018,ziguinchor,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0
99,11145,2018,ziguinchor,3,4,3,2,1,1,1,1,0,2,1,0,1,1,0,2,1,0,2.48490665
100,11146,2018,ziguinchor,5,2,0,3,0,1,0,1,0,0,0,0,2,3,1,1,0,1,2.302585093
101,11147,2018,ziguinchor,2,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1.098612289
102,11148,2018,ziguinchor,1,2,1,1,1,0,0,1,0,1,0,0,0,0,1,1,0,0,1.609437912
103,11149,2018,ziguinchor,1,0,0,2,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1.098612289
104,1115,2018,dakar,6,4,2,3,1,0,0,1,1,2,0,2,3,1,0,2,0,2,2.708050201
105,1116,2018,dakar,1,3,1,3,0,0,0,2,0,1,1,0,2,0,0,1,1,0,2.079441542
106,11161,2018,ziguinchor,2,1,3,1,1,0,0,0,1,1,1,1,0,0,1,1,0,0,1.945910149
107,111610,2018,ziguinchor,3,4,7,3,3,1,1,0,3,2,0,1,0,1,2,2,1,0,2.833213344
108,111611,2018,ziguinchor,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0
109,111612,2018,ziguinchor,3,6,2,1,1,0,0,2,0,2,1,3,0,1,1,1,0,0,2.48490665
110,11162,2018,ziguinchor,2,2,2,3,0,0,0,0,2,0,0,2,2,1,0,0,1,1,2.197224577
111,11163,2018,ziguinchor,2,3,1,2,0,0,1,0,0,2,0,2,1,0,1,1,0,0,2.079441542
112,11164,2018,ziguinchor,0,0,1,2,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1.098612289
113,11165,2018,ziguinchor,4,2,1,3,0,0,0,1,0,1,1,0,2,2,0,1,1,1,2.302585093
114,11166,2018,ziguinchor,3,1,0,3,0,1,0,0,0,0,0,0,1,2,2,0,0,1,1.945910149
115,11167,2018,ziguinchor,2,1,3,1,0,0,1,0,2,0,0,1,0,1,0,1,1,0,1.945910149
116,11168,2018,ziguinchor,3,0,2,2,0,0,0,0,1,0,1,0,1,2,0,1,1,0,1.945910149
117,11169,2018,ziguinchor,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0
118,1117,2018,dakar,1,0,3,2,0,0,0,0,2,0,1,0,0,0,1,1,1,0,1.791759469
119,1118,2018,dakar,3,0,2,3,0,0,2,0,0,0,0,0,0,2,2,0,1,1,2.079441542
120,11181,2018,ziguinchor,2,2,0,1,0,0,0,1,0,1,0,0,0,1,0,1,1,0,1.609437912
121,111810,2018,ziguinchor,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0
122,111811,2018,ziguinchor,1,2,2,1,1,0,0,0,1,2,0,0,0,0,1,1,0,0,1.791759469
123,111812,2018,ziguinchor,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0
124,11182,2018,ziguinchor,1,3,1,1,0,2,1,0,0,1,0,0,0,1,1,0,0,0,1.791759469
125,11183,2018,ziguinchor,0,0,0,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0.6931471806
126,11184,2018,ziguinchor,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0
127,11185,2018,ziguinchor,2,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1.098612289
128,11186,2018,ziguinchor,1,2,2,0,0,0,1,1,1,0,0,1,0,0,0,1,0,0,1.609437912
129,11187,2018,ziguinchor,1,1,1,2,0,0,0,0,1,0,0,1,1,0,0,1,1,0,1.609437912
130,11188,2018,ziguinchor,2,0,2,2,1,0,0,0,1,0,0,0,1,2,0,0,1,0,1.791759469
131,11189,2018,ziguinchor,1,1,1,2,0,1,1,0,0,0,0,0,2,1,0,0,0,0,1.609437912
132,1119,2018,dakar,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1.098612289
133,112,2018,dakar,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.6931471806
134,11201,2018,ziguinchor,5,1,3,2,0,0,0,1,2,0,1,0,1,2,1,1,0,2,2.397895273
135,112010,2018,ziguinchor,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0.6931471806
136,112011,2018,ziguinchor,1,3,2,1,0,1,2,0,0,1,0,1,0,0,0,1,1,0,1.945910149
137,112012,2018,ziguinchor,1,2,1,2,0,0,0,1,1,0,1,1,0,0,0,1,1,0,1.791759469
138,11202,2018,ziguinchor,1,4,3,1,1,0,1,3,0,1,1,0,0,0,0,1,1,0,2.197224577
139,11203,2018,ziguinchor,1,4,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1.791759469
140,11204,2018,ziguinchor,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.6931471806
141,11205,2018,ziguinchor,1,1,2,1,0,1,1,0,0,0,1,0,0,0,1,1,0,0,1.609437912
142,11206,2018,ziguinchor,2,1,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1.386294361
143,11207,2018,ziguinchor,3,3,2,1,0,0,0,2,2,1,0,0,0,1,0,2,1,0,2.197224577
144,11208,2018,ziguinchor,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1.098612289
145,11209,2018,ziguinchor,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0
146,11221,2018,ziguinchor,2,1,2,3,0,0,0,0,2,0,1,1,1,1,1,1,0,0,2.079441542
147,112210,2018,ziguinchor,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0.6931471806
148,112211,2018,ziguinchor,2,5,5,4,1,0,1,2,1,2,2,1,3,1,1,1,0,0,2.772588722
149,112212,2018,ziguinchor,1,4,6,3,0,0,2,4,3,0,1,0,2,0,0,0,1,1,2.63905733
150,11222,2018,ziguinchor,3,2,0,2,0,0,0,0,0,2,0,0,0,1,2,0,0,2,1.945910149
151,11223,2018,ziguinchor,1,2,1,1,0,1,1,1,0,0,0,0,0,1,1,0,0,0,1.609437912
152,11224,2018,ziguinchor,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0
153,11225,2018,ziguinchor,2,2,1,7,0,0,0,0,0,1,2,2,5,0,1,1,0,0,2.48490665
154,11226,2018,ziguinchor,1,1,2,4,0,0,1,0,0,0,1,1,2,1,2,0,0,0,2.079441542
155,11227,2018,ziguinchor,2,1,2,2,1,1,1,0,0,0,0,0,2,2,0,0,0,0,1.945910149
156,11228,2018,ziguinchor,2,0,2,2,0,0,1,0,1,0,0,0,0,0,1,1,1,1,1.791759469
157,11229,2018,ziguinchor,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0.6931471806
158,11251,2018,ziguinchor,2,5,1,1,0,2,0,2,1,1,0,0,0,1,1,1,0,0,2.197224577
159,112510,2018,ziguinchor,1,1,2,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,1.386294361
160,112511,2018,ziguinchor,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
161,112512,2018,ziguinchor,1,2,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,1.386294361
162,11252,2018,ziguinchor,2,0,1,2,0,0,0,0,1,0,0,0,1,1,0,0,1,1,1.609437912
163,11253,2018,ziguinchor,4,1,3,0,1,1,2,0,0,0,0,2,0,1,0,0,0,1,2.079441542
164,11254,2018,ziguinchor,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0
165,11255,2018,ziguinchor,1,0,3,2,1,0,0,0,1,0,1,0,1,0,1,1,0,0,1.791759469
166,11256,2018,ziguinchor,2,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,1,0,1.386294361
167,11257,2018,ziguinchor,1,2,2,1,1,0,1,1,0,1,0,0,0,1,1,0,0,0,1.791759469
168,11258,2018,ziguinchor,4,3,1,3,1,2,0,0,0,1,0,0,1,3,1,0,1,1,2.397895273
169,11259,2018,ziguinchor,1,0,2,2,0,0,0,0,1,0,1,0,1,0,0,0,1,1,1.609437912
170,11271,2018,diourbel,2,1,1,2,0,0,0,1,0,0,1,0,1,0,0,1,1,1,1.791759469
171,112710,2018,diourbel,5,3,4,2,3,0,0,1,1,2,0,1,1,1,0,2,1,1,2.63905733
172,112711,2018,diourbel,3,1,1,0,0,0,1,1,0,0,0,0,0,2,0,1,0,0,1.609437912
173,112712,2018,diourbel,5,3,4,4,1,0,0,1,2,0,1,2,1,2,2,1,1,2,2.772588722
174,11272,2018,diourbel,2,2,3,2,2,0,0,1,1,1,1,0,1,0,0,2,0,0,2.197224577
175,11273,2018,diourbel,4,10,4,1,1,3,1,2,2,2,0,3,0,1,1,2,0,1,2.944438979
176,11274,2018,diourbel,5,0,3,4,0,0,3,0,0,0,0,0,2,1,1,2,1,2,2.48490665
177,11275,2018,diourbel,3,1,4,3,3,0,0,1,0,0,1,0,1,2,2,1,0,0,2.397895273
178,11276,2018,diourbel,2,1,2,2,0,0,1,1,1,0,1,0,0,1,1,0,0,1,1.945910149
179,11277,2018,diourbel,3,2,3,0,1,1,1,0,1,0,0,1,0,2,0,0,0,1,2.079441542
180,11278,2018,diourbel,1,1,4,0,1,0,1,1,2,0,0,0,0,0,0,1,0,0,1.791759469
181,11279,2018,diourbel,2,2,3,2,2,2,1,0,0,0,0,0,1,1,1,1,0,0,2.197224577
182,11291,2018,diourbel,1,3,1,1,0,0,1,3,0,0,0,0,0,0,0,1,1,0,1.791759469
183,112910,2018,diourbel,1,3,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1.609437912
184,112911,2018,diourbel,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1.098612289
185,112912,2018,diourbel,3,1,4,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,2.079441542
186,11292,2018,diourbel,1,0,3,1,0,0,2,0,0,0,1,0,0,0,0,1,1,0,1.609437912
187,11293,2018,diourbel,8,5,10,1,3,1,3,2,2,2,2,0,0,2,0,3,1,3,3.17805383
188,11294,2018,diourbel,1,1,1,2,0,0,0,0,1,0,0,1,1,0,1,1,0,0,1.609437912
189,11295,2018,diourbel,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0.6931471806
190,11296,2018,diourbel,2,2,3,1,0,1,1,0,1,0,1,1,0,0,0,1,1,1,2.079441542
191,11297,2018,diourbel,1,3,1,2,0,0,0,2,1,0,1,1,0,0,0,1,1,0,1.945910149
192,11298,2018,diourbel,5,2,3,4,0,1,2,1,1,0,0,0,1,3,1,1,2,1,2.63905733
193,11299,2018,diourbel,3,5,4,4,1,1,1,1,2,2,0,1,1,0,2,2,1,1,2.772588722
194,113,2018,dakar,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0
195,1131,2018,dakar,6,0,1,1,0,0,1,0,0,0,0,0,0,2,1,2,0,2,2.079441542
196,11310,2018,dakar,2,0,0,2,0,0,0,0,0,0,0,0,2,0,0,1,0,1,1.386294361
197,11311,2018,diourbel,6,4,5,3,1,0,0,2,4,0,0,3,1,1,1,3,1,1,2.890371758
198,113110,2018,diourbel,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0.6931471806
199,113111,2018,diourbel,1,3,3,0,0,0,1,0,2,1,0,2,0,0,0,1,0,0,1.945910149
200,113112,2018,diourbel,1,4,3,1,0,1,0,2,1,0,2,1,0,0,0,1,1,0,2.197224577
201,11312,2018,diourbel,2,3,2,3,0,0,1,1,1,2,1,0,0,2,1,0,1,0,2.302585093
202,11313,2018,diourbel,2,2,1,1,0,1,0,0,0,0,2,1,0,2,0,0,0,0,1.791759469
203,11314,2018,diourbel,3,2,2,1,0,0,0,0,1,2,1,0,0,1,1,1,0,1,2.079441542
204,11315,2018,diourbel,4,5,2,2,2,2,0,2,0,1,0,0,0,1,1,2,1,1,2.564949357
205,11316,2018,diourbel,4,9,1,1,0,1,1,3,0,3,0,2,0,3,0,1,1,0,2.708050201
206,11317,2018,diourbel,1,2,4,1,1,1,2,1,1,0,0,0,0,0,1,1,0,0,2.079441542
207,11318,2018,diourbel,2,4,4,2,1,1,3,3,0,0,0,0,1,1,1,0,0,1,2.48490665
208,11319,2018,diourbel,1,1,4,1,0,1,2,0,0,0,2,0,0,0,1,1,0,0,1.945910149
209,1132,2018,dakar,4,0,2,4,0,0,0,0,0,0,3,0,3,3,0,0,0,1,2.302585093
210,1133,2018,dakar,1,0,1,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1.098612289
211,11331,2018,diourbel,3,3,3,1,0,0,2,2,0,0,1,2,0,2,1,0,0,0,2.302585093
212,113310,2018,diourbel,2,3,1,2,0,1,1,0,0,0,0,2,1,1,1,0,0,1,2.079441542
213,113311,2018,diourbel,2,5,4,2,2,1,1,1,1,1,0,2,0,1,2,1,0,0,2.564949357
214,113312,2018,diourbel,2,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1.098612289
215,11332,2018,diourbel,6,1,3,1,0,0,0,0,1,1,2,1,0,2,0,1,1,2,2.397895273
216,11333,2018,diourbel,5,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,1,1.609437912
217,11334,2018,diourbel,5,7,4,2,2,0,0,0,2,3,0,5,1,1,0,2,1,1,2.890371758
218,11335,2018,diourbel,2,1,3,4,0,0,2,1,0,0,1,0,3,1,0,0,1,1,2.302585093
219,11336,2018,diourbel,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0.6931471806
220,11337,2018,diourbel,2,3,1,1,0,1,1,0,0,2,0,0,0,0,1,1,0,1,1.945910149
221,11338,2018,diourbel,1,1,3,0,0,0,2,0,1,1,0,0,0,0,0,0,0,1,1.609437912
222,11339,2018,diourbel,2,1,2,0,0,0,1,0,1,1,0,0,0,1,0,1,0,0,1.609437912
223,1134,2018,dakar,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0.6931471806
224,1135,2018,dakar,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1.386294361
225,11351,2018,diourbel,2,2,3,5,0,0,1,1,2,0,0,1,2,0,2,2,1,0,2.48490665
226,113510,2018,diourbel,4,3,1,2,1,1,0,2,0,0,0,0,0,1,2,1,0,2,2.302585093
227,113511,2018,diourbel,2,0,1,2,0,0,0,0,1,0,0,0,2,1,0,0,0,1,1.609437912
228,113512,2018,diourbel,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1.386294361
229,11352,2018,diourbel,4,2,3,2,1,1,0,0,2,1,0,0,0,2,2,1,0,1,2.397895273
230,11353,2018,diourbel,2,0,0,3,0,0,0,0,0,0,0,0,1,0,1,0,1,2,1.609437912
231,11354,2018,diourbel,1,2,0,1,0,0,0,0,0,0,0,2,0,0,0,1,1,0,1.386294361
232,11355,2018,diourbel,2,0,1,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,1.098612289
233,11356,2018,diourbel,3,2,3,1,0,0,2,0,0,1,1,2,0,0,1,1,0,1,2.197224577
234,11357,2018,diourbel,8,5,5,3,2,0,2,2,0,1,1,3,0,2,1,3,2,2,3.044522438
235,11358,2018,diourbel,6,3,1,2,0,3,1,0,0,0,1,0,0,2,1,1,0,3,2.48490665
236,11359,2018,diourbel,4,0,10,4,0,0,5,0,4,0,1,1,3,3,0,0,1,0,2.890371758
237,1136,2018,dakar,1,1,1,1,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1.386294361
238,1137,2018,dakar,2,2,3,5,0,0,1,0,2,1,0,1,3,0,0,1,2,1,2.48490665
239,11371,2018,diourbel,1,1,1,2,0,0,0,1,1,0,0,0,1,0,0,1,1,0,1.609437912
240,113711,2018,diourbel,1,1,5,1,2,0,1,1,1,0,1,0,0,1,1,0,0,0,2.079441542
241,113712,2018,diourbel,1,0,0,2,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1.098612289
242,11372,2018,diourbel,1,1,2,1,0,0,1,0,1,1,0,0,1,0,0,0,0,1,1.609437912
243,11373,2018,diourbel,2,2,3,0,0,0,2,1,0,0,1,1,0,1,0,0,0,1,1.945910149
244,11374,2018,diourbel,4,1,2,2,1,1,1,0,0,0,0,0,1,2,0,1,1,1,2.197224577
245,11375,2018,diourbel,2,1,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,1.098612289
246,11376,2018,diourbel,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1.098612289
