,i,t,m,women,girls,boys,men,Males 00-03,Females 00-03,Males 04-08,Females 04-08,Males 09-13,Females 09-13,Males 14-18,Females 14-18,Males 19-30,Females 19-30,Males 31-50,Females 31-50,Males 51-99,Females 51-99,log HSize
5301,237810,2019,louga,1,1,1,4,0,0,0,1,1,0,0,0,3,0,0,1,1,0,1.945910149
5302,237811,2019,louga,2,5,1,1,1,0,0,4,0,1,0,0,0,0,1,1,0,1,2.197224577
5303,237812,2019,louga,1,2,3,1,1,0,1,1,1,1,0,0,0,0,1,1,0,0,1.945910149
5304,23782,2019,louga,2,0,0,2,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1.386294361
5305,23783,2019,louga,1,2,0,1,0,0,0,2,0,0,0,0,0,1,1,0,0,0,1.386294361
5306,23784,2019,louga,4,3,3,5,0,1,2,1,1,1,1,0,2,1,1,2,1,1,2.708050201
5307,23785,2019,louga,2,3,1,2,0,1,0,1,1,1,1,0,0,1,0,1,1,0,2.079441542
5308,23786,2019,louga,2,2,0,3,0,1,0,0,0,0,0,1,0,1,1,0,2,1,1.945910149
5309,23787,2019,louga,2,3,1,2,0,0,1,2,0,1,1,0,0,1,1,1,0,0,2.079441542
5310,23788,2019,louga,2,3,4,1,1,1,1,1,2,1,0,0,0,0,0,2,1,0,2.302585093
5311,23789,2019,louga,1,3,0,1,0,1,0,1,0,1,0,0,0,0,1,1,0,0,1.609437912
5312,23801,2019,louga,2,0,4,2,0,0,0,0,1,0,3,0,1,1,1,0,0,1,2.079441542
5313,238010,2019,louga,2,2,6,1,0,1,3,1,2,0,1,0,0,1,0,1,1,0,2.397895273
5314,238011,2019,louga,2,0,3,0,0,0,2,0,1,0,0,0,0,0,0,1,0,1,1.609437912
5315,238012,2019,louga,7,14,6,0,3,2,1,6,1,4,1,2,0,2,0,3,0,2,3.295836866
5316,23802,2019,louga,2,2,2,1,0,0,0,1,0,1,2,0,0,1,0,1,1,0,1.945910149
5317,23803,2019,louga,6,9,5,0,0,2,1,4,3,3,1,0,0,1,0,4,0,1,2.995732274
5318,23804,2019,louga,2,2,2,1,0,0,1,1,0,1,2,0,0,0,0,1,0,1,1.945910149
5319,23805,2019,louga,2,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1.098612289
5320,23806,2019,louga,1,2,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1.098612289
5321,23807,2019,louga,5,5,2,2,1,1,1,2,0,1,0,1,1,3,0,0,1,2,2.63905733
5322,23808,2019,louga,1,2,0,1,0,0,0,0,0,2,0,0,0,0,0,1,1,0,1.386294361
5323,23809,2019,louga,4,1,3,1,1,0,1,1,0,0,1,0,0,1,0,1,1,2,2.197224577
5324,2381,2019,dakar,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1.098612289
5325,23810,2019,dakar,5,1,4,3,3,0,0,0,1,1,0,0,1,3,2,1,0,1,2.564949357
5326,23811,2019,dakar,9,7,3,3,1,1,1,3,0,2,1,1,2,3,1,5,0,1,3.091042453
5327,23812,2019,dakar,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
5328,2382,2019,dakar,2,0,5,3,2,0,1,0,2,0,0,0,3,1,0,1,0,0,2.302585093
5329,23821,2019,louga,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0
5330,238210,2019,louga,2,2,1,1,1,1,0,0,0,1,0,0,0,1,0,1,1,0,1.791759469
5331,238211,2019,louga,2,2,2,1,1,1,1,0,0,1,0,0,0,1,1,0,0,1,1.945910149
5332,238212,2019,louga,1,3,3,1,0,0,1,1,1,1,1,1,0,0,0,0,1,1,2.079441542
5333,23822,2019,louga,4,3,4,0,2,1,1,1,1,1,0,0,0,2,0,1,0,1,2.397895273
5334,23823,2019,louga,4,1,3,4,1,0,1,1,1,0,0,0,1,2,2,1,1,1,2.48490665
5335,23824,2019,louga,2,1,1,1,0,0,1,0,0,1,0,0,0,0,1,1,0,1,1.609437912
5336,23825,2019,louga,3,1,4,1,2,0,1,1,1,0,0,0,1,2,0,0,0,1,2.197224577
5337,23826,2019,louga,1,5,2,1,0,1,1,3,0,1,1,0,0,1,1,0,0,0,2.197224577
