i,t,m,women,girls,boys,men,Males 00-03,Females 00-03,Males 04-08,Females 04-08,Males 09-13,Females 09-13,Males 14-18,Females 14-18,Males 19-30,Females 19-30,Males 31-50,Females 31-50,Males 51-99,Females 51-99,log HSize
23619,2019,louga,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2362,2019,dakar,1,2,1,1,0,0,0,1,1,1,0,0,0,0,0,1,1,0,1.609437912
2363,2019,dakar,1,2,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,1.386294361
23631,2019,louga,2,3,0,1,0,1,0,2,0,0,0,0,0,1,1,0,0,1,1.791759469
236310,2019,louga,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
236311,2019,louga,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
236312,2019,louga,1,3,3,1,1,0,0,2,1,1,1,0,0,0,1,1,0,0,2.079441542
23632,2019,louga,3,1,0,3,0,1,0,0,0,0,0,0,0,2,2,1,1,0,1.945910149
23633,2019,louga,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,1,1,1.609437912
23634,2019,louga,1,0,0,2,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1.098612289
23635,2019,louga,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0.6931471806
23637,2019,louga,1,1,0,2,0,1,0,0,0,0,0,0,0,0,2,0,0,1,1.386294361
23638,2019,louga,3,0,0,5,0,0,0,0,0,0,1,0,2,1,1,1,1,1,2.079441542
23639,2019,louga,4,3,2,3,0,0,0,0,1,3,2,0,1,1,0,2,1,1,2.48490665
2364,2019,dakar,4,0,3,2,1,0,0,0,0,0,2,0,1,1,0,1,1,2,2.197224577
2365,2019,dakar,2,2,1,0,1,1,0,0,0,1,0,0,0,2,0,0,0,0,1.609437912
23651,2019,louga,1,2,0,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,1.386294361
236510,2019,louga,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1.098612289
236511,2019,louga,7,3,5,5,0,0,2,1,1,1,3,2,2,3,2,2,0,1,2.995732274
236512,2019,louga,5,5,3,4,0,1,0,1,2,1,1,3,1,1,2,2,1,1,2.833213344
23652,2019,louga,1,3,2,2,0,0,0,1,1,1,2,1,0,0,1,1,0,0,2.079441542
23653,2019,louga,5,0,3,2,1,0,0,0,1,0,1,1,1,2,0,1,1,1,2.302585093
23654,2019,louga,1,2,2,1,0,1,1,0,0,1,1,0,0,0,1,1,0,0,1.791759469
23655,2019,louga,6,8,2,5,1,2,1,2,0,2,0,2,2,2,2,2,1,2,3.044522438
23656,2019,louga,5,0,1,3,0,0,0,0,0,0,1,0,2,4,0,0,1,1,2.197224577
23657,2019,louga,3,2,2,1,0,0,0,0,0,1,3,1,0,1,0,1,0,1,2.079441542
23658,2019,louga,5,4,7,3,0,2,2,1,2,1,3,0,1,1,1,3,1,1,2.944438979
23659,2019,louga,4,5,6,4,1,1,2,2,2,2,2,0,2,2,1,1,0,1,2.944438979
2366,2019,dakar,4,1,1,1,1,1,0,0,0,0,0,0,0,3,0,0,1,1,1.945910149
2367,2019,dakar,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1.098612289
23671,2019,louga,3,1,5,3,0,1,2,0,1,0,2,0,2,1,1,1,0,1,2.48490665
236710,2019,louga,4,4,1,2,0,1,1,0,0,1,0,2,1,2,1,1,0,1,2.397895273
236711,2019,louga,2,0,0,2,0,0,0,0,0,0,0,0,0,1,2,0,0,1,1.386294361
236712,2019,louga,4,4,1,2,1,0,0,4,0,0,0,0,1,1,1,2,0,1,2.397895273
23672,2019,louga,3,3,3,1,0,1,1,1,0,0,2,1,0,2,0,1,1,0,2.302585093
23673,2019,louga,4,4,8,1,2,0,1,1,3,2,2,1,0,2,1,2,0,0,2.833213344
23674,2019,louga,2,1,1,2,1,0,0,0,0,1,0,0,2,1,0,0,0,1,1.791759469
23675,2019,louga,2,0,1,2,1,0,0,0,0,0,0,0,2,1,0,0,0,1,1.609437912
23676,2019,louga,3,0,2,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,1.609437912
23677,2019,louga,6,0,0,5,0,0,0,0,0,0,1,2,2,3,1,0,1,1,2.397895273
23678,2019,louga,3,0,0,2,0,0,0,0,0,0,0,0,1,1,0,0,1,2,1.609437912
23679,2019,louga,1,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1.098612289
2368,2019,dakar,2,0,2,1,0,0,1,0,1,0,0,1,0,0,0,1,1,0,1.609437912
