,t,m,j,u,Price
0,2019,SAINT-LOUIS,"Abats et tripes (foie, rognon, etc.)",Kg,3000.0
1,2019,SAINT-LOUIS,"Abats et tripes (foie, rognon, etc.)",Lakhass,
2,2019,SAINT-LOUIS,"Abats et tripes (foie, rognon, etc.)",Tas,
3,2019,SAINT-LOUIS,Ail,Kg,1000.0
4,2019,SAINT-LOUIS,Ail,Sachet,25.0
5,2019,SAINT-LOUIS,Ail,Tas,62.5
6,2019,SAINT-LOUIS,Ail,Tranche,25.0
7,2019,SAINT-LOUIS,Ail,Unit,50.0
8,2019,SAINT-LOUIS,Ananas,Boite De Tomate/Pot,700.0
9,2019,SAINT-LOUIS,Ananas,Unit,
10,2019,SAINT-LOUIS,Arachide grillée,Cornet,
11,2019,SAINT-LOUIS,Arachide grillée,Kg,
12,2019,SAINT-LOUIS,Arachide grillée,Sachet,
13,2019,SAINT-LOUIS,Arachides décortiquées ou pilées (noflaye),Boite De Tomate/Pot,250.0
14,2019,SAINT-LOUIS,Arachides décortiquées ou pilées (noflaye),Boîte,
15,2019,SAINT-LOUIS,Arachides décortiquées ou pilées (noflaye),Cup/Goblet,
16,2019,SAINT-LOUIS,Arachides décortiquées ou pilées (noflaye),Kg,600.0
17,2019,SAINT-LOUIS,Arachides décortiquées ou pilées (noflaye),Sachet,100.0
18,2019,SAINT-LOUIS,Arachides décortiquées ou pilées (noflaye),Teacup,
19,2019,SAINT-LOUIS,Arachides fraîches en coques,Boite De Tomate/Pot,
20,2019,SAINT-LOUIS,Arachides fraîches en coques,Kg,
21,2019,SAINT-LOUIS,Arachides fraîches en coques,Teacup,
22,2019,SAINT-LOUIS,Arachides séchées en coques,Boite De Tomate/Pot,
23,2019,SAINT-LOUIS,Arachides séchées en coques,Kg,
24,2019,SAINT-LOUIS,Arachides séchées en coques,Sachet,150.0
25,2019,SAINT-LOUIS,"Arôme (Maggi, Jumbo, etc.)",Bouteilles,550.0
26,2019,SAINT-LOUIS,"Arôme (Maggi, Jumbo, etc.)",Sachet,50.0
27,2019,SAINT-LOUIS,"Aubergine, Courge/Courgette",Kg,300.0
28,2019,SAINT-LOUIS,"Aubergine, Courge/Courgette",Morceau,50.0
29,2019,SAINT-LOUIS,"Aubergine, Courge/Courgette",Tas,250.0
30,2019,SAINT-LOUIS,"Aubergine, Courge/Courgette",Tranche,37.5
31,2019,SAINT-LOUIS,"Aubergine, Courge/Courgette",Unit,50.0
32,2019,SAINT-LOUIS,Autre légumes frais n.d.a (y compris les fleurs blanches de bissap),Boite De Tomate/Pot,450.0
33,2019,SAINT-LOUIS,Autre légumes frais n.d.a (y compris les fleurs blanches de bissap),Kg,400.0
34,2019,SAINT-LOUIS,Autre légumes frais n.d.a (y compris les fleurs blanches de bissap),Morceau,62.5
35,2019,SAINT-LOUIS,Autre légumes frais n.d.a (y compris les fleurs blanches de bissap),Sachet,
36,2019,SAINT-LOUIS,Autre légumes frais n.d.a (y compris les fleurs blanches de bissap),Tas,50.0
37,2019,SAINT-LOUIS,Autre légumes frais n.d.a (y compris les fleurs blanches de bissap),Unit,50.0
38,2019,SAINT-LOUIS,Autres agrumes,Kg,900.0
39,2019,SAINT-LOUIS,Autres agrumes,Unit,100.0
40,2019,SAINT-LOUIS,Autres condiments (poivre etc.),Cornet,
41,2019,SAINT-LOUIS,Autres condiments (poivre etc.),Kg,3000.0
42,2019,SAINT-LOUIS,Autres condiments (poivre etc.),Sachet,25.0
43,2019,SAINT-LOUIS,Autres condiments (poivre etc.),Teacup,
44,2019,SAINT-LOUIS,Autres céréales,Kg,5916.666667
45,2019,SAINT-LOUIS,Autres céréales,Sachet,250.0
46,2019,SAINT-LOUIS,Autres farines de céréales,Kg,
47,2019,SAINT-LOUIS,Autres farines de céréales,Paquet,
48,2019,SAINT-LOUIS,Autres farines de céréales,Sachet,250.0
49,2019,SAINT-LOUIS,"Autres fruits (pommes, raisin, etc.)",Kg,1100.0
50,2019,SAINT-LOUIS,"Autres fruits (pommes, raisin, etc.)",Unit,200.0
51,2019,SAINT-LOUIS,"Autres huiles n.d.a. (maïs, huile palmiste, etc.)",Boite De Tomate/Pot,
52,2019,SAINT-LOUIS,"Autres huiles n.d.a. (maïs, huile palmiste, etc.)",Bouteille de 25cl,
53,2019,SAINT-LOUIS,"Autres huiles n.d.a. (maïs, huile palmiste, etc.)",Litre,
54,2019,SAINT-LOUIS,"Autres huiles n.d.a. (maïs, huile palmiste, etc.)",Quart De Litre,
55,2019,SAINT-LOUIS,Autres légumes secs n.d.a,Morceau,
56,2019,SAINT-LOUIS,Autres légumes secs n.d.a,Sachet,100.0
57,2019,SAINT-LOUIS,"Autres poissons frais (dorade, youfoufe, rouger, sikette, etc.)",Kg,708.3333333
58,2019,SAINT-LOUIS,"Autres poissons frais (dorade, youfoufe, rouger, sikette, etc.)",Morceau,1000.0
59,2019,SAINT-LOUIS,"Autres poissons frais (dorade, youfoufe, rouger, sikette, etc.)",Tas,725.0
60,2019,SAINT-LOUIS,"Autres poissons frais (dorade, youfoufe, rouger, sikette, etc.)",Unit,333.3333333
61,2019,SAINT-LOUIS,"Autres poissons fumés (kong fumé, yaboy ou obo fumé)",Kg,1900.0
62,2019,SAINT-LOUIS,"Autres poissons fumés (kong fumé, yaboy ou obo fumé)",Tas,250.0
63,2019,SAINT-LOUIS,"Autres poissons fumés (kong fumé, yaboy ou obo fumé)",Unit,200.0
64,2019,SAINT-LOUIS,Autres produits alimentaires,Boule (Dankk),
65,2019,SAINT-LOUIS,Autres produits alimentaires,Kg,25.0
66,2019,SAINT-LOUIS,Autres produits alimentaires,Sachet,
67,2019,SAINT-LOUIS,"Autres tisanes et infusions n.d.a. (quinquelibat, citronelle, etc.)",Bouteille de 1L,
68,2019,SAINT-LOUIS,"Autres tisanes et infusions n.d.a. (quinquelibat, citronelle, etc.)",Bouteilles,
69,2019,SAINT-LOUIS,"Autres tisanes et infusions n.d.a. (quinquelibat, citronelle, etc.)",Paquet,100.0
70,2019,SAINT-LOUIS,"Autres tisanes et infusions n.d.a. (quinquelibat, citronelle, etc.)",Pot,
71,2019,SAINT-LOUIS,"Autres tisanes et infusions n.d.a. (quinquelibat, citronelle, etc.)",Sachet,100.0
72,2019,SAINT-LOUIS,"Autres tisanes et infusions n.d.a. (quinquelibat, citronelle, etc.)",Teacup,100.0
73,2019,SAINT-LOUIS,"Autres tisanes et infusions n.d.a. (quinquelibat, citronelle, etc.)",Verre,
74,2019,SAINT-LOUIS,Autres tubercules n.d.a,Kg,
75,2019,SAINT-LOUIS,Autres tubercules n.d.a,Morceau,
76,2019,SAINT-LOUIS,Autres tubercules n.d.a,Unit,
77,2019,SAINT-LOUIS,Banane douce,Kg,800.0
78,2019,SAINT-LOUIS,Banane douce,Régime,
79,2019,SAINT-LOUIS,Banane douce,Tas,600.0
80,2019,SAINT-LOUIS,Banane douce,Unit,100.0
81,2019,SAINT-LOUIS,"Beignets, galettes",Sachet,100.0
82,2019,SAINT-LOUIS,"Beignets, galettes",Unit,25.0
83,2019,SAINT-LOUIS,Beurre,Demi Tablette,500.0
84,2019,SAINT-LOUIS,Beurre,Morceau,50.0
85,2019,SAINT-LOUIS,Beurre,Pot,800.0
86,2019,SAINT-LOUIS,Beurre,Sachet,50.0
87,2019,SAINT-LOUIS,Beurre,Seau,1000.0
88,2019,SAINT-LOUIS,Beurre,Tablespoon,725.0
89,2019,SAINT-LOUIS,Beurre,Tablette,600.0
90,2019,SAINT-LOUIS,Beurre,Teaspoon,625.0
91,2019,SAINT-LOUIS,Biscuits,Paquet,100.0
92,2019,SAINT-LOUIS,Biscuits,Sachet,50.0
93,2019,SAINT-LOUIS,"Bières et vins traditionnels (soum soum, sung, vin de palme, vin de raphia, etc.)",Bouteilles,
94,2019,SAINT-LOUIS,Bières industrielles,Canette,
95,2019,SAINT-LOUIS,Blé,Kg,300.0
96,2019,SAINT-LOUIS,"Boissons gazeuses (coca, etc.)","Bouteille de 1,5 L",700.0
97,2019,SAINT-LOUIS,"Boissons gazeuses (coca, etc.)",Bouteille de 1L,600.0
98,2019,SAINT-LOUIS,"Boissons gazeuses (coca, etc.)",Bouteille de 25cl,250.0
99,2019,SAINT-LOUIS,"Boissons gazeuses (coca, etc.)",Bouteille de 50 cl,275.0
100,2019,SAINT-LOUIS,"Boissons gazeuses (coca, etc.)",Canette,
101,2019,SAINT-LOUIS,Café,Boîte,675.0
102,2019,SAINT-LOUIS,Café,Kg,2000.0
103,2019,SAINT-LOUIS,Café,Sachet,100.0
104,2019,SAINT-LOUIS,Café,Teacup,500.0
105,2019,SAINT-LOUIS,Café,Teaspoon,2000.0
106,2019,SAINT-LOUIS,"Caramel, bonbons, confiseries, etc",Sachet,
107,2019,SAINT-LOUIS,"Caramel, bonbons, confiseries, etc",Unit,50.0
108,2019,SAINT-LOUIS,Carotte,Kg,400.0
109,2019,SAINT-LOUIS,Carotte,Morceau,100.0
110,2019,SAINT-LOUIS,Carotte,Tas,100.0
111,2019,SAINT-LOUIS,Carotte,Tranche,
112,2019,SAINT-LOUIS,Carotte,Unit,100.0
113,2019,SAINT-LOUIS,"Charcuterie (jambon, saucisson), conserves de viandes",Boîte,900.0
114,2019,SAINT-LOUIS,"Charcuterie (jambon, saucisson), conserves de viandes",Sachet,500.0
115,2019,SAINT-LOUIS,Chocolat en poudre,Pot,500.0
116,2019,SAINT-LOUIS,Chocolat en poudre,Sachet,50.0
117,2019,SAINT-LOUIS,Chocolat en poudre,Tablespoon,700.0
118,2019,SAINT-LOUIS,Chocolat en poudre,Teaspoon,575.0
119,2019,SAINT-LOUIS,"Chocolat à croquer, pâte à tartiner",Pot,1100.0
120,2019,SAINT-LOUIS,"Chocolat à croquer, pâte à tartiner",Sachet,25.0
121,2019,SAINT-LOUIS,"Chocolat à croquer, pâte à tartiner",Seau,
122,2019,SAINT-LOUIS,"Chocolat à croquer, pâte à tartiner",Tablespoon,50.0
123,2019,SAINT-LOUIS,Choux,Kg,500.0
124,2019,SAINT-LOUIS,Choux,Morceau,100.0
125,2019,SAINT-LOUIS,Choux,Tas,750.0
126,2019,SAINT-LOUIS,Choux,Unit,150.0
127,2019,SAINT-LOUIS,Citrons,Bol,
128,2019,SAINT-LOUIS,Citrons,Kg,800.0
129,2019,SAINT-LOUIS,Citrons,Sachet,100.0
130,2019,SAINT-LOUIS,Citrons,Tas,50.0
131,2019,SAINT-LOUIS,Citrons,Unit,50.0
132,2019,SAINT-LOUIS,Concentré de tomate,Boite De Tomate/Pot,600.0
133,2019,SAINT-LOUIS,Concentré de tomate,Kg,1400.0
134,2019,SAINT-LOUIS,Concentré de tomate,Sachet,100.0
135,2019,SAINT-LOUIS,Concentré de tomate,Tablespoon,250.0
136,2019,SAINT-LOUIS,Concombre,Kg,400.0
137,2019,SAINT-LOUIS,Concombre,Morceau,
138,2019,SAINT-LOUIS,Concombre,Tas,100.0
139,2019,SAINT-LOUIS,Concombre,Unit,150.0
140,2019,SAINT-LOUIS,Conserves de poisson,Boîte,550.0
141,2019,SAINT-LOUIS,"Crabes, crevettes et autres fruits de mer",Kg,1000.0
142,2019,SAINT-LOUIS,"Crabes, crevettes et autres fruits de mer",Tas,500.0
143,2019,SAINT-LOUIS,"Crabes, crevettes et autres fruits de mer",Unit,
144,2019,SAINT-LOUIS,Croissants,Kg,300.0
145,2019,SAINT-LOUIS,Croissants,Unit,
146,2019,SAINT-LOUIS,"Cube alimentaire (Maggi, Jumbo, )",Cube,25.0
147,2019,SAINT-LOUIS,"Cube alimentaire (Maggi, Jumbo, )",Sachet,25.0
148,2019,SAINT-LOUIS,"Cube alimentaire (Maggi, Jumbo, )",Tablette,
149,2019,SAINT-LOUIS,Dattes,Barquette,700.0
150,2019,SAINT-LOUIS,Dattes,Kg,1000.0
151,2019,SAINT-LOUIS,Dattes,Sachet,100.0
152,2019,SAINT-LOUIS,Dattes,Tas,
153,2019,SAINT-LOUIS,Eau minérale/ filtrée,"Bouteille de 1,5 L",250.0
154,2019,SAINT-LOUIS,Eau minérale/ filtrée,Bouteille de 10L,1100.0
155,2019,SAINT-LOUIS,Eau minérale/ filtrée,Bouteille de 5L,1000.0
156,2019,SAINT-LOUIS,Eau minérale/ filtrée,Sachet,
157,2019,SAINT-LOUIS,Farine de blé local ou importé,Kg,400.0
158,2019,SAINT-LOUIS,Farine de blé local ou importé,Sachet,100.0
159,2019,SAINT-LOUIS,Farine de maïs,Boite De Tomate/Pot,
160,2019,SAINT-LOUIS,Farine de maïs,Kg,600.0
161,2019,SAINT-LOUIS,Farine de maïs,Paquet,
162,2019,SAINT-LOUIS,Farine de mil,Boite De Tomate/Pot,150.0
163,2019,SAINT-LOUIS,Farine de mil,Kg,350.0
164,2019,SAINT-LOUIS,Farine de mil,Sachet,
165,2019,SAINT-LOUIS,Feuilles d'oseille (bissap),Boite De Tomate/Pot,500.0
166,2019,SAINT-LOUIS,Feuilles d'oseille (bissap),Bol,
167,2019,SAINT-LOUIS,Feuilles d'oseille (bissap),Kg,625.0
168,2019,SAINT-LOUIS,Feuilles d'oseille (bissap),Tas,50.0
169,2019,SAINT-LOUIS,Feuilles de baobab (lalo),Boite De Tomate/Pot,
170,2019,SAINT-LOUIS,Feuilles de baobab (lalo),Louche Traditionnelle,
171,2019,SAINT-LOUIS,Feuilles de baobab (lalo),Sachet,50.0
172,2019,SAINT-LOUIS,Feuilles de haricot/niébé,Boite De Tomate/Pot,300.0
173,2019,SAINT-LOUIS,Feuilles de haricot/niébé,Sachet,100.0
174,2019,SAINT-LOUIS,Feuilles de haricot/niébé,Tas,100.0
175,2019,SAINT-LOUIS,"Feuilles de manioc, feuilles de taro et autres feuilles",Tas,200.0
176,2019,SAINT-LOUIS,Feuilles de nébéday (moringa),Tas,
177,2019,SAINT-LOUIS,Fonio,Kg,
178,2019,SAINT-LOUIS,Fromage,Boîte,1600.0
179,2019,SAINT-LOUIS,Fromage,Morceau,50.0
180,2019,SAINT-LOUIS,Fromage,Unit,100.0
181,2019,SAINT-LOUIS,Gingembre,Kg,1200.0
182,2019,SAINT-LOUIS,Gingembre,Sachet,100.0
183,2019,SAINT-LOUIS,Gingembre,Tas,100.0
184,2019,SAINT-LOUIS,Gombo frais,Kg,600.0
185,2019,SAINT-LOUIS,Gombo frais,Sachet,
186,2019,SAINT-LOUIS,Gombo frais,Tas,50.0
187,2019,SAINT-LOUIS,Gombo frais,Unit,75.0
188,2019,SAINT-LOUIS,Gombo sec,Cup/Goblet,
189,2019,SAINT-LOUIS,Gombo sec,Kg,
190,2019,SAINT-LOUIS,Gombo sec,Sachet,50.0
191,2019,SAINT-LOUIS,Gâteaux,Sachet,500.0
192,2019,SAINT-LOUIS,Gâteaux,Unit,
193,2019,SAINT-LOUIS,Haricot vert,Kg,450.0
194,2019,SAINT-LOUIS,Haricot vert,Sachet,100.0
195,2019,SAINT-LOUIS,Haricot vert,Tas,100.0
196,2019,SAINT-LOUIS,Huile d'arachide raffinée,Boite De Tomate/Pot,
197,2019,SAINT-LOUIS,Huile d'arachide raffinée,Litre,6000.0
198,2019,SAINT-LOUIS,Huile d'arachide raffinée,Quart De Litre,
199,2019,SAINT-LOUIS,"Huile d____arachide ""ségal""",Bouteilles,
200,2019,SAINT-LOUIS,"Huile d____arachide ""ségal""",Litre,
201,2019,SAINT-LOUIS,"Huile d____arachide ""ségal""",Quart De Litre,
202,2019,SAINT-LOUIS,Huile de palme raffinée,Demi Litre,
203,2019,SAINT-LOUIS,Huile de palme raffinée,Litre,900.0
204,2019,SAINT-LOUIS,Huile de palme raffinée,Quart De Litre,
205,2019,SAINT-LOUIS,Huile de palme rouge,"12,5cl(Demi Walatt)",300.0
206,2019,SAINT-LOUIS,Huile de palme rouge,Bouteille de 1 Litre,1500.0
207,2019,SAINT-LOUIS,Huile de palme rouge,Demi Litre,900.0
208,2019,SAINT-LOUIS,Huile de palme rouge,Litre,1500.0
209,2019,SAINT-LOUIS,Huile de palme rouge,Quart De Litre,400.0
210,2019,SAINT-LOUIS,"Huile de soja / végétale (e.g., Ninaal, Jaara, etc.)",Boite De Tomate/Pot,
211,2019,SAINT-LOUIS,"Huile de soja / végétale (e.g., Ninaal, Jaara, etc.)",Bouteille de 1 Litre,825.0
212,2019,SAINT-LOUIS,"Huile de soja / végétale (e.g., Ninaal, Jaara, etc.)",Bouteille de 25cl,300.0
213,2019,SAINT-LOUIS,"Huile de soja / végétale (e.g., Ninaal, Jaara, etc.)",Bouteille de 5 Litres,4000.0
214,2019,SAINT-LOUIS,"Huile de soja / végétale (e.g., Ninaal, Jaara, etc.)",Demi Litre,450.0
215,2019,SAINT-LOUIS,"Huile de soja / végétale (e.g., Ninaal, Jaara, etc.)",Litre,900.0
216,2019,SAINT-LOUIS,"Huile de soja / végétale (e.g., Ninaal, Jaara, etc.)",Quart De Litre,250.0
217,2019,SAINT-LOUIS,"Huile de soja / végétale (e.g., Ninaal, Jaara, etc.)",Sachet,300.0
218,2019,SAINT-LOUIS,Igname,Kg,1000.0
219,2019,SAINT-LOUIS,Igname,Morceau,50.0
220,2019,SAINT-LOUIS,Igname,Unit,
221,2019,SAINT-LOUIS,"Jus de fruits (orange, bissap, gingembre, jus de cajou,etc.)",Bouteille de 1L,1000.0
222,2019,SAINT-LOUIS,"Jus de fruits (orange, bissap, gingembre, jus de cajou,etc.)",Bouteille de 25cl,
223,2019,SAINT-LOUIS,"Jus de fruits (orange, bissap, gingembre, jus de cajou,etc.)",Bouteille de 33cl,
224,2019,SAINT-LOUIS,"Jus de fruits (orange, bissap, gingembre, jus de cajou,etc.)",Brique Carton,1000.0
225,2019,SAINT-LOUIS,"Jus de fruits (orange, bissap, gingembre, jus de cajou,etc.)",Canette,
226,2019,SAINT-LOUIS,"Jus de fruits (orange, bissap, gingembre, jus de cajou,etc.)",Litre,375.0
227,2019,SAINT-LOUIS,"Jus de fruits (orange, bissap, gingembre, jus de cajou,etc.)",Sachet,100.0
228,2019,SAINT-LOUIS,Jus en poudre,Sachet,100.0
229,2019,SAINT-LOUIS,"Lait caillé, yaourt",Boite De Tomate/Pot,500.0
230,2019,SAINT-LOUIS,"Lait caillé, yaourt",Bouteille de 1 Litre,600.0
231,2019,SAINT-LOUIS,"Lait caillé, yaourt","Bouteille de 1,5 L",
232,2019,SAINT-LOUIS,"Lait caillé, yaourt",Cup/Goblet,50.0
233,2019,SAINT-LOUIS,"Lait caillé, yaourt",Litre,450.0
234,2019,SAINT-LOUIS,"Lait caillé, yaourt",Louche Traditionnelle,37.5
235,2019,SAINT-LOUIS,"Lait caillé, yaourt",Sachet,200.0
236,2019,SAINT-LOUIS,"Lait caillé, yaourt",Seau,1250.0
237,2019,SAINT-LOUIS,Lait concentré non-sucré,Bouteilles,350.0
238,2019,SAINT-LOUIS,Lait concentré non-sucré,Boîte,300.0
239,2019,SAINT-LOUIS,Lait concentré sucré,Boîte,1000.0
240,2019,SAINT-LOUIS,Lait en poudre,Kg,2400.0
241,2019,SAINT-LOUIS,Lait en poudre,Paquet,1300.0
242,2019,SAINT-LOUIS,Lait en poudre,Sachet,100.0
243,2019,SAINT-LOUIS,Lait en poudre,Teaspoon,1500.0
244,2019,SAINT-LOUIS,Lait et farines pour bébé,Boîte,2350.0
245,2019,SAINT-LOUIS,Lait et farines pour bébé,Paquet,250.0
246,2019,SAINT-LOUIS,Lait et farines pour bébé,Sachet,350.0
247,2019,SAINT-LOUIS,Lait frais,Boite De Tomate/Pot,300.0
248,2019,SAINT-LOUIS,Lait frais,Bouteilles,1000.0
249,2019,SAINT-LOUIS,Lait frais,Litre,833.3333333
250,2019,SAINT-LOUIS,Lait frais,Louche Traditionnelle,150.0
251,2019,SAINT-LOUIS,Lait frais,Quart De Litre,600.0
252,2019,SAINT-LOUIS,Lait frais,Sachet,100.0
253,2019,SAINT-LOUIS,Lait frais,Seau,500.0
254,2019,SAINT-LOUIS,Mangue,Kg,500.0
255,2019,SAINT-LOUIS,Mangue,Sachet,350.0
256,2019,SAINT-LOUIS,Mangue,Seau,1500.0
257,2019,SAINT-LOUIS,Mangue,Unit,125.0
258,2019,SAINT-LOUIS,Manioc,Kg,500.0
259,2019,SAINT-LOUIS,Manioc,Morceau,50.0
260,2019,SAINT-LOUIS,Manioc,Tas,250.0
261,2019,SAINT-LOUIS,Manioc,Unit,100.0
262,2019,SAINT-LOUIS,Mayonnaise,Pot,1000.0
263,2019,SAINT-LOUIS,Mayonnaise,Sachet,100.0
264,2019,SAINT-LOUIS,Mayonnaise,Seau,1000.0
265,2019,SAINT-LOUIS,Mayonnaise,Tablespoon,900.0
266,2019,SAINT-LOUIS,Mayonnaise,Teaspoon,1000.0
267,2019,SAINT-LOUIS,Maïs en grain,Boite De Tomate/Pot,
268,2019,SAINT-LOUIS,Maïs en grain,Kg,600.0
269,2019,SAINT-LOUIS,Maïs en épi,Tas,
270,2019,SAINT-LOUIS,Maïs en épi,Unit,
271,2019,SAINT-LOUIS,Miel,Bouteille de 1 Litre,
272,2019,SAINT-LOUIS,Miel,Bouteilles,
273,2019,SAINT-LOUIS,Miel,Kg,
274,2019,SAINT-LOUIS,Miel,Litre,
275,2019,SAINT-LOUIS,Miel,Tablespoon,2000.0
276,2019,SAINT-LOUIS,Mil,Boite De Tomate/Pot,600.0
277,2019,SAINT-LOUIS,Mil,Kg,300.0
278,2019,SAINT-LOUIS,Mil,Sachet,250.0
279,2019,SAINT-LOUIS,Niébé/Haricots secs,Boite De Tomate/Pot,350.0
280,2019,SAINT-LOUIS,Niébé/Haricots secs,Boîte,
281,2019,SAINT-LOUIS,Niébé/Haricots secs,Cup/Goblet,800.0
282,2019,SAINT-LOUIS,Niébé/Haricots secs,Kg,600.0
283,2019,SAINT-LOUIS,Niébé/Haricots secs,Sachet,100.0
284,2019,SAINT-LOUIS,Niébé/Haricots secs,Teacup,100.0
285,2019,SAINT-LOUIS,Noix de coco,Unit,
286,2019,SAINT-LOUIS,Noix de cola,Sachet,
287,2019,SAINT-LOUIS,Noix de cola,Unit,50.0
288,2019,SAINT-LOUIS,Oeufs,Demi Tablette,1175.0
289,2019,SAINT-LOUIS,Oeufs,Tablette (30),1675.0
290,2019,SAINT-LOUIS,Oeufs,Tas,
291,2019,SAINT-LOUIS,Oeufs,Unit,100.0
292,2019,SAINT-LOUIS,Oignon frais,Filet (5 Kg),500.0
293,2019,SAINT-LOUIS,Oignon frais,Kg,250.0
294,2019,SAINT-LOUIS,Oignon frais,Morceau,
295,2019,SAINT-LOUIS,Oignon frais,Sac (25 Kg),
296,2019,SAINT-LOUIS,Oignon frais,Sachet,100.0
297,2019,SAINT-LOUIS,Oignon frais,Tas,75.0
298,2019,SAINT-LOUIS,Oignon frais,Unit,50.0
299,2019,SAINT-LOUIS,Orange,Kg,800.0
300,2019,SAINT-LOUIS,Orange,Sachet,1000.0
301,2019,SAINT-LOUIS,Orange,Tas,
302,2019,SAINT-LOUIS,Orange,Unit,
303,2019,SAINT-LOUIS,Pain moderne,Demi-Miche,
304,2019,SAINT-LOUIS,Pain moderne,Miche,175.0
305,2019,SAINT-LOUIS,Pain moderne,Sachet,500.0
306,2019,SAINT-LOUIS,Pain moderne,Tiers de Miche,75.0
307,2019,SAINT-LOUIS,Pain traditionnel,Demi-Miche,100.0
308,2019,SAINT-LOUIS,Pain traditionnel,Miche,100.0
309,2019,SAINT-LOUIS,Pain traditionnel,Sachet,
310,2019,SAINT-LOUIS,Pain traditionnel,Tiers de Miche,100.0
311,2019,SAINT-LOUIS,"Pastèque, Melon",Kg,700.0
312,2019,SAINT-LOUIS,"Pastèque, Melon",Tas,500.0
313,2019,SAINT-LOUIS,"Pastèque, Melon",Tranche,
314,2019,SAINT-LOUIS,"Pastèque, Melon",Unit,675.0
315,2019,SAINT-LOUIS,Patate douce,Bassine,1500.0
316,2019,SAINT-LOUIS,Patate douce,Kg,300.0
317,2019,SAINT-LOUIS,Patate douce,Morceau,50.0
318,2019,SAINT-LOUIS,Patate douce,Seau,500.0
319,2019,SAINT-LOUIS,Patate douce,Tas,100.0
320,2019,SAINT-LOUIS,Patate douce,Unit,100.0
321,2019,SAINT-LOUIS,Petit pois secs,Kg,800.0
322,2019,SAINT-LOUIS,Petits pois conserve,Boite De Tomate/Pot,
323,2019,SAINT-LOUIS,Petits pois conserve,Boîte,500.0
324,2019,SAINT-LOUIS,Petits pois conserve,Sachet,
325,2019,SAINT-LOUIS,Piment,Boite De Tomate/Pot,
326,2019,SAINT-LOUIS,Piment,Kg,2000.0
327,2019,SAINT-LOUIS,Piment,Sachet,25.0
328,2019,SAINT-LOUIS,Piment,Tas,50.0
329,2019,SAINT-LOUIS,Piment,Unit,25.0
330,2019,SAINT-LOUIS,Plantain,Unit,
331,2019,SAINT-LOUIS,Poisson frais thiof/seudd (baracouda),Kg,1500.0
332,2019,SAINT-LOUIS,Poisson frais thiof/seudd (baracouda),Morceau,1000.0
333,2019,SAINT-LOUIS,Poisson frais thiof/seudd (baracouda),Tas,500.0
334,2019,SAINT-LOUIS,Poisson frais thiof/seudd (baracouda),Unit,1000.0
335,2019,SAINT-LOUIS,Poisson frais wass,Kg,1500.0
336,2019,SAINT-LOUIS,Poisson frais wass,Tas,1000.0
337,2019,SAINT-LOUIS,Poisson frais wass,Unit,458.3333333
338,2019,SAINT-LOUIS,Poisson frais yaboy ou obo (sardinelle),Tas,500.0
339,2019,SAINT-LOUIS,Poisson frais yaboy ou obo (sardinelle),Unit,200.0
340,2019,SAINT-LOUIS,Poisson fumé kétiakh (sardinelle),Cornet,100.0
341,2019,SAINT-LOUIS,Poisson fumé kétiakh (sardinelle),Kg,800.0
342,2019,SAINT-LOUIS,Poisson fumé kétiakh (sardinelle),Sachet,100.0
343,2019,SAINT-LOUIS,Poisson fumé kétiakh (sardinelle),Tas,250.0
344,2019,SAINT-LOUIS,Poisson fumé kétiakh (sardinelle),Unit,112.5
345,2019,SAINT-LOUIS,"Poisson séché (tambadiang, kong, etc.)",Kg,1100.0
346,2019,SAINT-LOUIS,"Poisson séché (tambadiang, kong, etc.)",Morceau,50.0
347,2019,SAINT-LOUIS,"Poisson séché (tambadiang, kong, etc.)",Tas,500.0
348,2019,SAINT-LOUIS,"Poisson séché (tambadiang, kong, etc.)",Unit,150.0
349,2019,SAINT-LOUIS,Poivron frais,Kg,500.0
350,2019,SAINT-LOUIS,Poivron frais,Tas,100.0
351,2019,SAINT-LOUIS,Poivron frais,Tranche,25.0
352,2019,SAINT-LOUIS,Poivron frais,Unit,50.0
353,2019,SAINT-LOUIS,Pomme de terre,Kg,400.0
354,2019,SAINT-LOUIS,Pomme de terre,Tas,100.0
355,2019,SAINT-LOUIS,Pomme de terre,Unit,
356,2019,SAINT-LOUIS,Poulet sur pied,Unit,3000.0
357,2019,SAINT-LOUIS,Pâte d'arachide,Kg,900.0
358,2019,SAINT-LOUIS,Pâte d'arachide,Sachet,175.0
359,2019,SAINT-LOUIS,Pâte d'arachide,Tablespoon,
360,2019,SAINT-LOUIS,Pâtes alimentaires,Kg,800.0
361,2019,SAINT-LOUIS,Pâtes alimentaires,Paquet,300.0
362,2019,SAINT-LOUIS,Pâtes alimentaires,Sachet,200.0
363,2019,SAINT-LOUIS,Riz importé brisé,Boite De Tomate/Pot,15000.0
364,2019,SAINT-LOUIS,Riz importé brisé,Kg,357.1428571
365,2019,SAINT-LOUIS,Riz importé entier,Boite De Tomate/Pot,
366,2019,SAINT-LOUIS,Riz importé entier,Kg,4925.0
367,2019,SAINT-LOUIS,Riz local brisé,Boite De Tomate/Pot,8500.0
368,2019,SAINT-LOUIS,Riz local brisé,Kg,300.0
369,2019,SAINT-LOUIS,Riz local entier,Boite De Tomate/Pot,7500.0
370,2019,SAINT-LOUIS,Riz local entier,Kg,325.0
